UniqueCount	AmbigCount
2692	1
2218	0
235	19
1751	36
2793	28
3680	15
828	1
2049	3
1808	1
832	17
233	17
1216	1
1222	7
2668	15
410	15
1814	7
1692	4
791	8
2682	17
1861	25
998	18
908	1
2952	0
257	112
244	112
67	0
0	0
2370	0
798	100
0	0
892	6
214	6
1520	7
1928	8
1603	0
0	0
855	100
109	0
166	0
0	0
0	0
0	0
0	0
0	0
741	0
4571	7
518	4
1215	0
517	20
647	3
467	20
659	5
3363	2
1740	1
1842	4
2258	0
2262	0
0	0
0	0
495	0
2072	1
1730	4
854	0
964	1
1054	3
1152	1
904	6
1086	6
2082	15
1372	30
1965	53
2099	41
816	6
1480	11
725	8
277	3
643	3
913	0
1	0
1138	34
763	34
1485	25
1480	38
1815	14
681	0
594	0
893	1
777	18
1700	21
1069	221
1408	6
868	14
930	19
894	5
1201	1
1904	4
1969	4
109	0
0	0
0	0
3364	3
669	3
685	11
875	18
2577	20
1266	16
1361	17
1388	17
826	12
1642	7
1530	17
1396	28
1576	28
559	16
1013	7
1601	2
1593	1
287	15
404	15
2003	3
1246	2
119	0
509	0
855	4
1207	5
845	11
1319	11
303	0
1230	0
1485	0
8852	12
629	5
390	1
763	0
1312	8
1060	12
1356	3
1672	1
486	0
1958	1
0	0
2504	1
1267	11
1007	17
1619	18
1106	9
146	0
4077	4
0	0
0	0
0	0
2203	9
1954	7
1287	6
2282	10
2077	1
934	0
646	0
553	0
1234	1
1651	5
1539	18
950	16
1305	8
1200	4
1030	0
579	0
1757	0
968	7
2244	20
1534	11
3994	5
989	6
2638	3
309	1
385	1
0	0
1291	10
2753	10
1349	1
1788	9
1878	9
1419	1
1886	5
322	0
53	1
1518	1
0	0
968	0
49	2
1830	3
988	0
0	0
2757	23
433	24
191	1
1453	2
1175	5
59	3
1173	0
735	6
1111	7
2055	5
1437	0
863	18
1303	18
2379	23
2360	14
543	0
2391	14
904	12
432	7
752	6
749	0
835	0
1732	1
821	1
26	1
981	1
357	3
975	2
1104	1
83	0
325	0
1367	1
1111	1
956	0
687	0
993	17
1515	17
1953	2
0	0
0	0
992	0
216	1
4269	4
445	28
217	34
1648	8
6289	6
344	0
298	1
760	9
240	15
1891	7
332	54
633	0
590	1
115	0
265	7
451	69
189	16
237	1
119	0
240	0
351	0
946	0
1640	0
999	3
1200	3
759	4
17	0
955	0
1390	12
1110	14
1392	0
1682	1
872	1
851	1
845	0
557	1
1388	1
2123	0
914	1
1272	0
0	0
1023	0
249	3
811	13
985	13
1235	1
1231	0
1578	8
182	16
392	15
2402	8
357	1
1629	1
376	0
1467	0
1037	12
1262	18
542	4
1025	2
324	2
575	4
850	4
1473	5
1999	2
620	0
118	1
288	1
107	12
786	20
1015	9
561	0
1107	1
1173	0
868	1
2620	14
2214	11
1359	9
1329	8
997	2
1116	9
123	16
1311	9
101	0
194	4
559	10
130	4
1184	1
185	0
39	0
634	0
296	0
464	0
183	0
206	5
135	5
686	0
346	0
657	0
126	0
1861	1
577	0
769	1
1623	0
0	0
1176	0
