Name,SRR27129218,SRR27129337,SRR27129336,avg_TPM
lcl|NC_007795.1_cds_YP_500691.1_2006,840.947359,3251.399705,2423.316749,2171.8879376666664
lcl|NC_007795.1_cds_YP_500088.1_1431,1644.12276,2023.063227,1788.009356,1818.3984476666665
lcl|NC_007795.1_cds_YP_500050.1_1394,1717.476486,2081.699717,1436.778143,1745.3181153333335
lcl|NC_007795.1_cds_YP_500043.1_1387,2067.87677,1836.680254,1314.791519,1739.7828476666666
lcl|NC_007795.1_cds_YP_500064.1_1408,1366.156703,2210.772138,1412.245967,1663.0582693333333
lcl|NC_007795.1_cds_YP_500049.1_1393,1188.969274,1758.873869,1189.838098,1379.2270803333333
lcl|NC_007795.1_cds_YP_500086.1_1429,1296.640308,1509.335457,1304.152523,1370.0427626666667
lcl|NC_007795.1_cds_YP_500074.1_1417,0.0,2256.291889,1799.764955,1352.0189480000001
lcl|NC_007795.1_cds_YP_500087.1_1430,1203.113473,1581.282695,1241.741392,1342.0458533333333
lcl|NC_007795.1_cds_YP_500055.1_1399,1171.561453,1578.30594,1080.237664,1276.7016856666667
